CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,2,5,-,"2,890.00",79.40,65,"2,847.00","3,002.85","1,690","23,100.00","1,300",5.00,5.10,650,-1.90,5.20,26.94,"5,906",159,"5,501",
,45,-,-,-,"2,570.25",-,"1,755","2,577.80","2,936.60","1,690","23,150.00",845,4.80,6.75,"1,300",-2.45,5.20,26.52,120,-28,252,
,1,-1,4,-,"2,774.30",246.65,130,"2,750.75","2,798.15",130,"23,200.00",130,5.10,5.90,"1,755",-2.20,5.10,26.02,459,-58,"1,720",
,2,-,2,-,"2,725.85",241.60,"1,755","2,521.60","2,828.80","1,690","23,250.00",975,5.10,6.60,65,-2.85,5.35,25.76,120,72,235,
,35,1,3,-,"2,708.80",98.80,65,"2,646.75","2,689.30",325,"23,300.00",195,5.35,5.75,260,-1.95,5.50,25.43,"2,603",-167,"7,213",
,3,-,-,-,"2,507.90",5.20,"1,755","2,443.00","2,724.80","1,690","23,350.00",910,4.95,6.80,325,-2.00,7.00,25.85,42,-,328,
,24,-,-,-,"2,447.85",-,"1,755","2,338.80","2,683.15","1,690","23,400.00","1,755",5.75,6.75,"1,300",-2.40,5.90,24.81,731,-27,"3,217",
,3,-,2,-,"2,542.75",81.10,"1,755","2,294.00","2,635.30","1,690","23,450.00",780,5.50,7.95,650,-2.85,6.45,24.68,115,-9,319,
,"8,228",228,582,-,"2,469.55",58.05,65,"2,460.75","2,471.50",65,"23,500.00","1,300",6.35,6.75,195,-2.20,6.75,24.40,"8,504",636,"30,365",
,2,-,2,-,"2,443.35",79.75,"1,755","2,248.10","2,535.15","1,690","23,550.00",780,6.10,7.80,"1,040",-3.70,6.60,23.89,56,-36,208,
,4,-,2,-,"2,394.50",80.10,130,"2,164.50","2,405.00",130,"23,600.00",325,6.35,8.45,325,-3.10,6.45,23.37,619,-87,"2,785",
,25,-,2,-,"2,344.05",78.55,"1,755","2,113.95","2,414.20","1,690","23,650.00",650,6.25,14.00,650,-4.10,6.75,23.09,50,-4,246,
,18,-1,10,-,"2,282.80",84.45,65,"2,234.75","2,361.95",65,"23,700.00",650,6.70,9.05,65,-3.00,7.15,22.84,967,60,"2,465",
,224,130,134,-,"2,244.00",262.30,65,"2,071.75","2,326.70",65,"23,750.00","1,560",6.70,9.50,65,-2.45,7.90,22.74,244,73,439,
,96,-2,3,-,"2,194.15",64.15,65,"2,000.75","2,244.30","1,755","23,800.00",390,7.20,8.40,195,-2.90,7.70,22.20,"2,403",-252,"3,416",
,28,-,4,-,"2,146.05",81.75,"1,755","1,921.05","2,210.50","1,690","23,850.00","1,300",7.10,9.85,260,-0.05,11.80,23.28,191,-38,288,
,94,-,1,-,"2,070.00",57.60,130,"2,054.90","2,102.85",130,"23,900.00",130,7.80,9.25,65,-3.60,8.00,21.44,997,-65,"2,923",
