CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,4,-,"2,392.05",-365.45,65,"2,203.45","2,567.55",65,"23,100.00",195,7.15,9.60,520,4.05,9.35,28.40,"7,416",635,"3,814",
,1,-,4,-,"2,341.20",-370.35,65,"2,152.60","2,517.45",65,"23,150.00",650,5.85,17.20,"1,690",0.40,6.85,26.60,731,-92,118,
,1,-,2,-,"2,295.60",-369.85,650,"2,106.95","2,465.75","1,690","23,200.00",650,5.85,8.00,195,2.05,8.00,26.70,"2,802",149,644,
,-,-,-,-,-,-,650,"2,070.20","2,404.15",650,"23,250.00",65,6.75,17.15,"1,690",0.55,6.75,25.54,424,-133,155,
,2,-,4,-,"2,218.25",-339.65,65,"2,029.75","2,364.10",65,"23,300.00","1,170",6.75,8.90,195,2.50,8.75,26.03,"1,348",46,371,
,2,-,4,-,"2,144.30",-372.35,650,"1,955.65","2,332.10","1,690","23,350.00","1,690",6.70,10.00,65,3.45,9.90,26.01,45,2,45,
,-,-1,2,-,"2,065.50",-394.75,650,"1,877.05","2,250.60","1,690","23,400.00",780,9.65,11.25,"2,600",3.15,9.90,25.48,992,82,303,
,2,-,2,27.81,"2,093.45",-306.00,650,"1,904.40","2,243.35","1,690","23,450.00",260,8.65,20.00,"1,690",1.60,8.60,24.40,362,67,129,
,2,-,2,22.55,"2,030.95",-336.55,650,"1,842.00","2,185.75",65,"23,500.00",65,10.65,10.85,260,3.10,10.10,24.50,"9,553",642,"4,985",
,-,-1,2,-,"1,945.85",-369.35,"1,690","1,691.15","2,109.05","1,690","23,550.00",650,8.20,12.60,65,3.20,10.65,24.18,119,24,61,
,2,-,2,26.67,"1,946.15",-305.35,650,"1,757.10","2,089.65","1,690","23,600.00",650,8.60,18.00,130,3.45,10.85,23.72,"1,088",36,214,
