CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,7,1,1,-,"2,870.55",130.55,"1,690","2,237.55","2,962.50","1,690","23,100.00",325,49.35,51.40,325,0.75,51.55,18.30,258,53,"1,056",
,1,1,4,-,"2,716.50",31.75,"1,690","2,181.95","2,892.85","1,690","23,150.00",325,50.05,52.05,325,4.95,49.15,17.85,41,32,79,
,1,1,1,-,"2,772.10",180.30,"1,690","2,148.50","2,867.85","1,690","23,200.00",325,51.15,53.15,325,-0.85,52.60,17.85,97,38,196,
,1,-,2,-,"2,646.65",154.40,"1,755","2,193.65","2,795.00","1,690","23,250.00",325,52.35,54.30,325,-2.90,53.60,17.67,13,-,95,
,-,-,-,-,-,-,"1,690","2,149.25","2,742.40","1,690","23,300.00",325,53.40,55.35,325,-2.75,55.95,17.58,84,38,287,
,1,1,2,-,"2,528.85",107.35,"1,300","2,103.70","2,688.45","1,690","23,350.00",325,55.70,57.55,325,14.70,57.30,17.41,36,26,36,
,-,-1,2,-,"2,504.95",100.65,"1,690","2,001.00","2,635.45","1,690","23,400.00",325,57.55,59.40,325,-2.60,58.70,17.24,44,35,152,
,1,1,2,-,"2,435.15",30.30,845,"1,960.15","2,591.40","1,690","23,450.00",325,59.40,61.05,325,-2.10,60.75,17.11,12,9,64,
,104,1,2,-,"2,442.30",88.50,"1,690","1,918.90","2,523.75","1,690","23,500.00",390,63.25,64.80,65,-5.35,63.05,16.99,"1,371",66,"2,476",
,1,1,4,-,"2,338.25",18.35,"1,690","1,876.85","2,490.85","1,690","23,550.00",325,63.15,64.65,325,-3.95,65.65,16.89,22,12,53,
,-,-1,2,-,"2,312.50",112.00,"1,755","1,923.30","2,452.80","1,690","23,600.00",325,65.25,66.70,325,-2.45,68.45,16.79,40,14,96,
,1,-,2,-,"2,268.00",113.45,"1,755","1,878.80","2,402.05","1,690","23,650.00",325,67.60,69.10,325,-9.65,65.45,16.33,26,10,47,
,1,-,2,-,"2,221.15",154.20,"1,690","1,757.70","2,405.20","1,690","23,700.00",325,69.80,71.30,325,-9.90,67.30,16.17,36,-14,93,
,-,-1,2,-,"2,173.65",98.00,"1,755","1,705.60","2,297.85","1,690","23,750.00",325,72.25,73.75,325,-11.20,69.90,16.05,21,1,47,
,-,-1,2,-,"2,130.60",102.45,585,"1,659.60","2,241.80","1,690","23,800.00",325,74.75,76.25,65,-5.35,76.95,16.17,760,-46,614,
,1,-,2,-,"2,083.40",101.25,"1,300","1,617.15","2,215.50","1,690","23,850.00",325,77.50,79.05,325,-10.05,74.95,15.78,23,-3,33,
,-,-1,2,-,"2,038.85",80.70,"1,755","1,560.05","2,146.95","1,690","23,900.00",325,80.45,82.05,325,-3.00,83.10,15.94,61,-4,286,
,8,-,2,-,"1,995.40",156.20,845,"1,433.90","2,100.45","1,690","23,950.00",325,83.45,85.10,325,-2.25,85.50,15.78,56,-10,34,
,365,26,47,-,"1,935.00",114.95,65,"1,922.40","1,989.80",65,"24,000.00",325,90.00,91.00,130,-7.85,90.85,15.76,"7,551",74,"7,248",
,3,-,2,-,"1,899.75",102.70,"1,625","1,419.80","1,994.45","1,690","24,050.00",325,90.10,91.75,325,-6.25,95.00,15.67,74,4,47,
,20,-,2,-,"1,851.05",54.15,"1,755","1,420.90","2,021.15","1,690","24,100.00",65,94.30,94.65,325,-12.95,94.25,15.34,581,137,516,
,20,-,4,-,"1,801.70",48.35,"1,755","1,464.05","1,908.95","1,690","24,150.00",325,97.55,99.20,325,-16.30,91.70,14.92,27,-10,25,
,20,-,2,-,"1,754.85",-129.40,"1,690","1,207.90","1,855.40","1,690","24,200.00",325,101.05,102.75,325,-8.95,104.10,15.20,910,199,"1,267",
,20,-,2,-,"1,737.90",106.30,"1,755","1,388.00","1,838.60","1,690","24,250.00",325,106.25,107.90,325,-16.65,104.15,14.90,24,-3,38,
,21,-,2,-,"1,685.70",-287.50,"1,690","1,115.05","1,778.10","1,690","24,300.00",260,110.55,112.25,65,-11.00,110.45,14.87,944,239,"1,427",
,3,1,2,-,"1,637.20",105.20,845,"1,064.70","1,744.30","1,690","24,350.00",260,115.90,117.60,260,-10.80,118.95,14.92,38,20,99,
,4,-,4,-,"1,594.55",86.05,"1,755","1,263.85","1,670.00",130,"24,400.00",260,120.20,121.75,65,-13.20,123.90,14.81,521,207,"2,102",
,3,1,2,-,"1,558.80",103.05,715,"1,013.25","1,652.40","1,690","24,450.00",260,126.45,128.10,260,-7.55,129.55,14.72,46,-22,177,
,594,-28,160,-,"1,487.00",100.85,65,"1,472.55","1,542.00",65,"24,500.00",130,135.70,137.15,65,-15.15,136.65,14.67,"3,466",629,"8,589",
,20,-,2,6.74,"1,473.15",117.35,"1,755","1,024.90","1,581.75","1,690","24,550.00",260,138.20,139.95,260,18.60,143.50,14.60,23,-13,147,
,3,-1,4,8.04,"1,436.05",123.40,"1,820","1,110.10","1,506.00",910,"24,600.00",65,142.60,147.00,65,-19.55,142.75,14.25,795,124,"2,110",
,2,1,2,11.07,"1,441.30",163.30,"1,755","1,087.25","1,504.85","1,690","24,650.00",910,135.00,172.95,910,-29.20,147.90,14.10,19,7,135,
,41,-2,3,10.78,"1,392.15",117.30,910,"1,125.45","1,414.60",910,"24,700.00",65,155.35,160.00,65,-18.15,159.10,14.16,787,73,"2,310",
,2,-,2,10.66,"1,347.10",141.30,-,-,"1,658.65",195,"24,750.00",650,70.00,186.15,325,-19.40,172.15,14.26,18,8,124,
,33,-,2,10.97,"1,312.40",181.25,"1,755",978.45,"1,330.40",910,"24,800.00",65,171.00,175.10,65,-21.25,172.00,13.91,"1,130",46,"3,565",
,4,2,4,10.76,"1,265.80",131.80,"1,755",939.05,"1,318.70","1,690","24,850.00",910,117.55,206.20,65,-30.15,187.75,14.07,40,-14,102,
,69,-2,6,11.01,"1,231.45",144.75,390,908.00,"1,254.95",910,"24,900.00",130,189.25,192.45,65,-28.75,189.60,13.77,786,3,"2,107",
