CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,690.00",-,-,-,-,-,"12,000.00","1,755",3.20,18.00,65,16.55,19.70,57.09,3,3,10,
,-,-,-,-,-,-,-,-,-,-,"13,000.00","1,300",3.50,19.80,650,-,3.10,-,-,-,5,
,-,-,-,-,-,-,-,-,-,-,"14,000.00","1,300",3.60,16.00,65,-,18.40,-,-,-,17,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",650,6.80,14.50,130,-,13.50,-,-,-,20,
,-,-,-,-,-,-,-,-,-,-,"16,000.00",130,10.25,16.50,130,-0.10,12.50,35.66,2,-,77,
,3,-,-,-,"7,580.00",-,-,-,-,-,"18,000.00",130,15.25,-,-,6.00,20.00,29.88,14,13,15,
,2,-,-,-,"7,800.00",-,-,-,-,-,"19,000.00",65,27.50,28.00,910,0.50,28.00,27.50,445,155,"2,687",
,-,-,-,-,-,-,-,-,-,-,"20,000.00",390,34.35,36.50,390,-0.70,35.00,24.66,461,175,"10,749",
,893,161,244,-,"5,030.00",147.35,455,"5,000.00","5,082.75",65,"21,000.00",780,44.20,47.00,130,-2.00,44.20,21.86,313,66,"10,358",
,-,-,-,-,-,-,-,-,-,-,"22,000.00",260,60.00,61.60,195,-1.20,61.50,19.39,569,59,"3,424",
,3,1,1,-,"3,692.00",161.90,-,-,-,-,"22,500.00","1,300",11.15,74.70,325,-,92.00,-,-,-,1,
,859,40,55,-,"3,140.00",72.15,65,"3,126.95","3,193.45",65,"23,000.00",325,94.90,97.85,325,-5.70,97.40,17.37,"1,904",110,"7,960",
,"1,963",-22,307,-,"2,270.00",100.40,65,"2,247.00","2,290.50",65,"24,000.00",130,169.75,171.50,65,-11.55,169.95,15.69,"4,434",-138,"21,553",
,"5,841",445,"1,047",6.55,"1,475.25",107.35,65,"1,430.10","1,475.00",65,"25,000.00",65,323.00,327.00,65,-32.25,326.95,14.62,"6,506",335,"21,608",
,"2,263",102,662,8.12,"1,111.70",75.70,65,"1,070.05","1,127.95",65,"25,500.00",65,448.95,452.65,65,-52.30,448.95,14.15,"1,612",154,"6,121",
,"14,424",747,"3,602",8.76,803.00,69.55,65,791.00,809.80,65,"26,000.00",65,623.05,630.35,65,-68.25,623.95,13.98,"4,628",467,"21,941",
,"30,971",420,"5,881",9.05,347.50,36.20,65,345.00,346.80,65,"27,000.00",65,"1,133.05","1,156.00",65,-100.50,"1,140.75",14.28,"1,304",379,"28,308",
,"24,553","1,084","7,653",9.22,120.20,9.35,325,118.80,121.40,65,"28,000.00",65,"1,870.05","1,908.65",65,-97.15,"1,895.00",16.13,198,101,"12,623",
,-,-,-,-,-,-,65,70.00,490.00,130,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"6,877",764,"2,260",9.85,42.50,0.90,65,41.55,43.45,195,"29,000.00",65,"2,751.85","2,801.30",65,-101.65,"2,781.80",19.01,180,27,788,
,"4,527",97,346,11.41,25.00,1.10,975,24.30,25.30,260,"30,000.00",65,"3,707.95","3,756.55",65,-123.10,"3,743.00",22.82,23,3,"1,429",
,716,-44,209,12.74,15.05,-1.95,325,15.00,16.20,65,"31,000.00",-,-,-,-,-,-,-,-,-,-,
,11,-,-,-,17.00,-,195,12.00,17.00,130,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,233,-24,67,15.37,7.30,-0.25,260,6.25,7.35,130,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,755",1.15,19.90,650,"34,500.00",-,-,-,-,-,-,-,-,-,-,
