CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,13,11,27,-,"1,478.85",-323.15,130,"1,376.05","1,446.20",130,"23,300.00","1,495",3.50,3.60,910,0.05,3.60,39.56,"15,26,410","53,289","1,80,776",
,3,1,5,141.90,"1,922.35",-150.85,"1,690","1,252.60","1,648.10","1,690","23,350.00",585,3.65,3.75,715,-0.20,3.75,38.64,"2,89,673","2,993","13,073",
,15,7,31,70.97,"1,519.10",-503.80,130,"1,278.75","1,398.70",390,"23,400.00",780,4.00,4.20,"3,120",-0.30,3.85,37.62,"4,88,375","-9,253","38,945",
,1,-1,3,100.09,"1,612.00",-248.85,130,"1,219.65","1,336.65",390,"23,450.00","3,185",4.40,4.45,780,-0.05,4.40,37.18,"2,47,217","3,106","8,964",
,237,19,239,-,"1,240.25",-607.50,65,"1,228.80","1,240.85",325,"23,500.00","2,535",4.80,4.90,65,0.30,4.90,36.59,"16,38,948","91,157","1,96,127",
,2,-,-,-,-,-,130,"1,133.75","1,240.20",130,"23,550.00",650,4.95,5.20,585,0.40,5.20,35.71,"2,56,663","1,382","7,893",
,48,2,48,-,"1,115.65",-580.40,390,"1,078.75","1,199.80",65,"23,600.00","1,365",5.45,5.60,845,0.55,5.60,34.91,"6,60,836","26,770","43,171",
,51,-,51,-,"1,186.85",-491.90,130,"1,041.35","1,150.45",390,"23,650.00",715,5.95,6.15,780,0.70,5.95,34.02,"3,68,359","2,773","8,062",
,68,-,16,82.83,"1,328.20",-254.55,130,985.70,"1,100.95",65,"23,700.00",975,6.65,6.75,845,1.05,6.65,33.40,"8,07,021","7,250","32,351",
,132,-,9,77.47,"1,261.20",-266.30,130,933.75,"1,025.50",65,"23,750.00",845,7.60,7.75,"1,950",1.65,7.65,32.93,"4,47,010","5,829","13,374",
,25,10,47,-,938.60,-492.00,260,906.60,949.40,780,"23,800.00","2,665",8.50,8.60,585,2.25,8.60,32.32,"10,58,863","8,333","45,755",
,46,38,63,-,880.30,-578.70,845,843.60,946.15,845,"23,850.00","17,550",9.80,10.10,845,3.35,10.10,31.97,"6,30,708","6,052","14,407",
,23,13,58,-,842.90,-623.05,65,824.65,848.35,130,"23,900.00","2,080",11.35,11.50,910,4.20,11.45,31.40,"12,25,292","8,369","26,657",
,17,7,24,-,769.60,-525.40,130,743.40,845.40,390,"23,950.00",845,13.15,13.40,520,5.35,13.15,30.90,"9,85,795","5,527","17,153",
,"5,237","1,753","13,382",-,745.65,-606.00,130,743.10,748.30,130,"24,000.00",780,15.45,15.60,"1,625",7.05,15.60,30.61,"39,74,085","36,930","1,75,904",
,17,4,18,50.18,885.00,-412.45,"1,690",627.85,748.10,130,"24,050.00",650,17.90,18.25,845,8.70,17.90,30.10,"10,22,516","8,021","14,582",
,152,33,257,-,650.45,-600.20,65,646.90,658.10,195,"24,100.00","2,535",21.10,21.20,520,11.20,21.10,29.78,"17,30,626","36,279","55,078",
