CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,"1,802.00",-,390,"1,992.30","2,196.25","1,690","23,300.00","1,105",4.05,4.15,"1,755",1.65,4.05,36.02,"4,28,477","10,827","1,27,487",
,2,-,-,-,"2,073.20",-,780,"1,836.65","2,124.40",65,"23,350.00","3,770",4.30,4.50,65,1.75,4.30,35.51,"1,03,063",917,"10,080",
,8,-,-,-,"2,022.90",-,390,"1,885.65","1,999.70",65,"23,400.00","2,470",4.60,4.80,"2,795",1.85,4.55,34.98,"2,14,778","12,212","48,198",
,2,-,-,-,"1,860.85",-,"1,690","1,726.90","2,088.50",65,"23,450.00","2,015",4.70,4.95,65,1.85,4.70,34.32,"68,483",479,"5,858",
,218,23,162,37.37,"1,856.00",-93.95,65,"1,846.90","1,859.60",65,"23,500.00","1,560",5.00,5.20,"18,330",1.90,4.95,33.76,"3,65,310","32,065","1,04,970",
,2,-1,2,-,"1,720.05",35.80,390,"1,745.85","1,841.25",65,"23,550.00","2,080",5.10,5.35,715,1.90,5.10,33.08,"52,650",677,"6,511",
,46,1,10,-,"1,696.05",-96.05,65,"1,695.85","1,774.00",65,"23,600.00","2,535",5.05,5.45,195,1.60,5.00,32.17,"1,11,859","3,291","16,401",
,51,-2,8,29.13,"1,699.50",-93.40,390,"1,647.35","1,726.65",65,"23,650.00",585,5.60,5.85,"1,950",2.20,5.85,32.08,"56,803",-122,"5,289",
,68,-,-,-,"1,582.75",-,390,"1,591.10","1,701.60",65,"23,700.00","1,040",5.85,6.05,65,2.30,6.20,31.52,"1,66,837","2,753","25,101",
,132,-,8,-,"1,527.50",-163.05,390,"1,547.60","1,638.50",65,"23,750.00","3,575",6.30,6.40,65,2.45,6.40,30.83,"1,53,376","-17,606","7,545",
,15,-1,4,-,"1,430.60",-244.40,65,"1,535.55","1,585.25",65,"23,800.00","1,300",6.75,6.85,"1,300",2.55,6.85,30.31,"3,21,721","-6,403","37,422",
,8,-,2,-,"1,459.00",-132.25,390,"1,449.60","1,542.85",65,"23,850.00",65,7.05,7.20,"6,630",2.75,7.20,29.69,"1,48,892","-16,873","8,355",
,10,1,8,34.45,"1,465.95",-99.90,390,"1,399.75","1,469.00",65,"23,900.00",585,7.50,7.85,650,2.50,7.50,29.02,"2,06,722","-7,115","18,288",
,10,2,3,-,"1,295.00",-200.55,390,"1,347.30","1,445.85",65,"23,950.00",325,8.30,8.45,520,2.70,8.15,28.55,"94,303","3,120","11,626",
,"3,484",226,"1,177",30.95,"1,362.00",-87.60,65,"1,352.85","1,359.00",65,"24,000.00","3,900",8.70,9.10,"1,820",2.90,8.70,27.98,"6,09,067","43,199","1,38,974",
,13,2,12,18.41,"1,297.45",-120.50,390,"1,251.30","1,353.95",65,"24,050.00","1,040",9.50,9.75,975,2.75,9.10,27.30,"1,01,590","-1,523","6,561",
,119,40,90,28.25,"1,260.15",-96.75,325,"1,203.25","1,266.55",65,"24,100.00",65,9.90,10.15,520,3.15,10.00,26.86,"2,31,286","-3,214","18,799",
,18,9,10,-,"1,114.00",-219.30,390,"1,154.20","1,256.65",65,"24,150.00","1,430",10.85,11.00,65,3.30,10.85,26.34,"1,92,624",956,"11,117",
,67,17,86,31.90,"1,178.25",-81.85,390,"1,105.20","1,167.20",65,"24,200.00","1,820",11.65,12.00,"1,430",3.50,11.65,25.76,"4,37,452","-10,362","49,601",
,37,-9,62,33.51,"1,140.00",-79.45,390,"1,056.50","1,120.95",130,"24,250.00","1,625",12.55,13.00,780,3.55,12.55,25.19,"2,03,358","1,435","10,770",
,190,11,144,27.70,"1,070.50",-94.95,65,"1,056.30","1,069.15",65,"24,300.00",260,13.65,14.20,"3,315",4.40,14.15,24.84,"4,43,339",-317,"54,605",
,66,29,122,21.83,"1,006.30",-114.55,65,"1,010.35","1,024.25",65,"24,350.00",260,15.10,15.30,195,4.30,15.15,24.22,"2,31,985",416,"13,677",
,374,-7,272,23.21,962.45,-101.05,260,962.90,972.95,65,"24,400.00",325,16.70,16.90,585,4.85,16.95,23.81,"3,85,189","12,571","39,752",
,378,2,128,25.03,922.55,-98.65,65,913.30,923.15,130,"24,450.00",390,18.25,18.70,455,5.35,18.80,23.35,"2,79,563","5,198","14,621",
,"3,969",-421,"10,263",23.00,868.80,-98.10,260,868.15,872.25,260,"24,500.00","1,885",20.25,20.45,"1,625",5.35,20.40,22.76,"9,48,280","2,574","86,103",
,417,-63,281,23.01,823.25,-101.35,65,816.05,823.60,260,"24,550.00",65,22.15,22.60,585,5.35,22.15,22.16,"3,12,081","8,093","18,766",
,"1,145",-90,"1,943",22.75,777.10,-96.35,65,771.20,776.45,260,"24,600.00",650,24.60,24.90,325,6.10,24.85,21.72,"6,57,096","-3,816","54,984",
,399,-121,412,21.11,724.75,-102.50,65,723.05,733.80,260,"24,650.00",390,27.60,27.90,325,6.30,27.60,21.22,"3,62,677","-3,248","10,028",
,"1,049",-95,"4,360",20.64,678.05,-98.05,520,676.55,685.60,65,"24,700.00",650,31.15,31.45,"1,040",7.25,31.45,20.86,"7,25,107","-5,098","30,320",
,431,-148,"1,580",19.80,629.80,-104.35,520,631.10,642.90,65,"24,750.00",780,35.25,35.55,260,8.10,35.55,20.44,"5,35,291",237,"15,220",
,"2,438",-107,"17,359",20.50,591.00,-92.50,260,588.05,591.05,260,"24,800.00",130,40.00,40.15,195,8.80,40.15,20.01,"12,47,763","5,981","49,355",
,656,-127,"4,247",19.74,544.35,-91.90,260,542.95,554.10,130,"24,850.00",520,45.55,46.00,715,9.65,45.55,19.60,"6,24,492","1,056","13,727",
,"2,335",-947,"25,035",19.45,501.50,-92.25,195,500.75,502.95,260,"24,900.00",585,51.85,52.20,845,11.50,52.35,19.28,"13,96,402","20,690","69,126",
,"1,137",52,"11,447",19.47,462.00,-88.20,520,456.90,465.60,65,"24,950.00",390,59.90,60.25,520,13.35,60.30,18.98,"8,89,011","-4,002","16,085",
,"39,342","1,769","2,40,300",18.73,417.80,-87.30,130,417.55,419.35,260,"25,000.00",325,69.15,69.60,585,15.20,69.15,18.66,"31,09,557","2,817","1,05,610",
,"2,133",179,"41,499",18.46,378.45,-86.60,325,379.00,380.60,260,"25,050.00",520,79.70,80.25,390,17.65,79.75,18.39,"10,99,911","-1,859","15,824",
,"11,925",-848,"2,93,940",18.45,342.90,-80.75,455,341.00,342.95,260,"25,100.00",260,92.15,92.70,715,20.75,92.20,18.17,"20,33,195","-5,566","43,014",
,"6,090",-728,"3,57,749",18.30,307.80,-77.35,260,305.60,307.30,325,"25,150.00",520,106.30,106.70,260,24.15,106.35,17.96,"15,22,650","-2,024","22,600",
,"35,798",927,"15,41,487",18.03,273.35,-73.50,325,271.75,272.95,195,"25,200.00",780,122.85,123.50,585,28.15,122.75,17.80,"36,46,595","-4,086","62,051",
,"23,203","10,669","22,22,007",17.79,241.00,-70.60,390,240.55,241.70,455,"25,250.00",260,141.20,141.85,195,33.45,141.90,17.71,"31,60,163",-753,"33,823",
,"79,392","30,645","48,77,066",17.77,212.90,-64.40,260,211.85,212.90,195,"25,300.00","4,680",162.95,163.00,"2,665",38.70,163.00,17.62,"47,13,899","6,420","76,193",
,"44,521","23,577","23,96,543",17.70,186.35,-58.85,65,186.30,186.85,520,"25,350.00",520,185.50,186.00,585,43.25,185.50,17.47,"13,89,500","7,560","34,547",
,"67,768","17,324","28,83,766",17.61,161.80,-53.90,260,161.40,162.30,650,"25,400.00",455,211.05,211.80,195,48.75,210.95,17.39,"10,83,828","-16,801","35,568",
