CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,1,2,-,"1,850.00","-1,387.85",65,"1,923.15","2,509.50",65,"23,100.00","26,000",1.40,1.45,390,0.40,1.40,62.37,"6,41,834","80,628","80,628",
,-,-,-,-,-,-,-,-,-,-,"23,150.00","1,820",1.35,1.40,"1,885",0.20,1.35,60.67,"1,30,836","6,605","6,605",
,-,-,-,-,-,-,-,-,-,-,"23,200.00","5,070",1.35,1.50,"2,145",0.05,1.35,59.22,"3,08,335","41,061","41,061",
,15,15,41,-,"1,710.00","-1,379.45",65,"1,125.15","1,896.65",65,"23,250.00",325,1.30,1.50,"2,210",-0.15,1.40,58.01,"1,74,498","5,415","5,415",
,28,10,33,-,"1,770.00",278.10,130,"1,769.20","1,779.55",65,"23,300.00",65,1.45,1.50,"1,625",-2.05,1.50,57.00,"9,45,190","-28,392","1,52,352",
,2,-,-,-,"1,922.35",-,65,"1,674.40","1,771.05",390,"23,350.00",65,1.50,1.55,"1,170",-2.40,1.50,55.53,"2,34,650",-60,"13,015",
,14,2,18,-,"1,660.00",140.90,65,"1,634.70","1,718.90",65,"23,400.00","1,755",1.50,1.55,65,-2.70,1.55,54.27,"5,21,409","19,828","58,170",
,1,-,-,-,"1,612.00",-,65,"1,575.15","1,671.10",390,"23,450.00",65,1.40,1.55,910,-3.20,1.45,52.39,"2,60,018",315,"9,127",
,216,-21,111,-,"1,566.55",317.50,65,"1,570.20","1,580.95",65,"23,500.00","19,370",1.40,1.50,715,-3.50,1.50,51.13,"17,99,843","-28,139","1,65,456",
,2,-,-,-,"1,720.05",-,65,"1,472.40","1,571.10",390,"23,550.00",845,1.40,1.60,910,-3.80,1.50,49.66,"3,02,083","4,400","12,312",
,44,-5,7,-,"1,338.00",185.40,65,"1,469.00","1,485.80",65,"23,600.00",845,1.35,1.60,585,-4.15,1.60,48.57,"7,85,815","8,680","50,773",
