CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"24,000.00",910,19.55,42.65,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,050.00",780,16.50,73.90,260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,100.00",910,18.45,41.05,"2,730",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,150.00",780,15.00,90.00,260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,200.00",130,24.10,52.10,"1,820",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,250.00",780,20.00,89.90,260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,300.00",910,21.70,53.25,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,350.00",910,20.05,55.70,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,400.00",910,30.00,57.55,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,450.00",910,26.95,61.75,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,500.00",910,37.60,49.00,130,-11.45,45.85,14.61,50,33,33,
,-,-,-,-,-,-,-,-,-,-,"24,550.00",910,32.55,67.35,"1,820",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,600.00",910,42.20,70.20,"1,820",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,650.00",325,36.70,77.95,"1,820",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,700.00",910,36.90,73.90,780,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,750.00",585,39.40,79.85,"1,820",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,800.00",390,25.75,84.50,390,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,850.00",715,25.65,91.30,910,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,900.00",650,24.05,99.90,325,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"24,950.00",910,65.20,100.65,910,-,-,-,-,-,-,
,-,-,-,-,-,-,650,902.85,"1,050.00",910,"25,000.00",65,82.40,90.00,65,-51.10,87.30,13.25,32,19,19,
,-,-,-,-,-,-,-,-,-,-,"25,050.00",650,76.30,114.95,845,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,300",841.55,945.20,715,"25,100.00",910,50.70,117.70,65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,893.45,390,"25,150.00",585,77.50,133.40,910,-,-,-,-,-,-,
,-,-,-,-,-,-,520,743.75,879.45,585,"25,200.00",715,76.40,126.85,65,-,-,-,-,-,-,
,-,-,-,-,-,-,390,469.20,811.70,390,"25,250.00","2,730",69.15,172.80,910,-,-,-,-,-,-,
