CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,12,1,5,-,"2,698.55",49.00,390,"2,623.45","2,684.50",65,"23,100.00","1,300",2.70,2.75,325,-0.40,2.70,35.60,"2,14,594","13,661","74,373",
,2,-,2,-,"2,599.50",-6.10,"1,690","2,442.40","2,680.00",390,"23,150.00",195,2.85,3.05,"1,755",-0.45,2.85,35.21,"52,754",954,"3,139",
,5,-,2,-,"2,556.70",-45.50,130,"2,523.95","2,630.80",65,"23,200.00","1,755",2.80,2.90,845,-0.40,2.90,34.66,"88,989","6,018","16,794",
,1,-,-,-,"2,538.55",-,390,"2,462.15","2,603.70",65,"23,250.00",845,3.00,3.10,"1,235",-0.60,3.00,34.19,"38,922",733,"2,667",
,14,-,2,-,"2,431.55",-75.55,260,"2,424.50","2,530.90",65,"23,300.00","1,560",3.05,3.20,"1,300",-0.45,3.15,33.77,"1,07,700","4,273","19,410",
,4,-,2,-,"2,377.50",-57.80,390,"2,370.20","2,487.10",65,"23,350.00","5,005",3.10,3.25,520,-0.70,3.10,33.08,"31,452","1,348","2,788",
,13,-,-,-,"2,401.40",-,390,"2,323.45","2,439.40",65,"23,400.00","1,430",3.25,3.30,585,-0.60,3.30,32.71,"62,908","2,917","6,733",
,3,-,-,-,"2,302.25",-2.75,390,"2,263.35","2,396.60",65,"23,450.00","1,300",3.40,3.60,"1,820",-0.65,3.35,32.15,"23,994","1,360","2,195",
,185,-2,15,-,"2,305.00",60.00,65,"2,261.65","2,276.60",65,"23,500.00","3,250",3.30,3.50,"5,005",-0.55,3.30,31.46,"2,59,231","27,292","78,977",
,3,-,-,-,"2,220.90",3.15,390,"2,176.45","2,295.75",65,"23,550.00",910,3.70,3.95,845,-0.60,3.95,31.56,"30,332","1,214","2,748",
,14,-,4,-,"2,171.50",35.00,130,"2,163.45","2,184.75",65,"23,600.00",325,3.80,4.10,130,-0.85,3.90,30.87,"64,160",945,"7,335",
,3,-,-,-,"2,109.35",-,390,"2,076.85","2,193.05",65,"23,650.00",650,4.10,4.30,260,-1.25,4.20,30.54,"28,159","1,300","2,863",
,10,2,14,-,"2,076.55",-11.60,65,"2,063.50","2,081.45",65,"23,700.00","1,430",4.20,4.70,"1,040",-1.05,4.20,29.89,"1,03,685","8,000","15,748",
,130,-,-,-,"2,003.15",-17.40,390,"1,977.90","2,079.75",65,"23,750.00",650,4.50,5.20,"1,040",-1.10,4.60,29.62,"35,702","1,860","3,635",
,25,-3,11,38.33,"2,039.80",57.30,390,"1,923.25","1,981.50",65,"23,800.00",260,4.55,5.25,910,-0.60,5.10,29.39,"1,30,180","11,938","24,192",
,3,-,-,-,"1,902.15",-4.30,390,"1,877.85","1,998.25",65,"23,850.00","1,495",4.80,5.65,"1,560",-1.20,5.10,28.74,"32,250","1,358","2,829",
,14,-,5,-,"1,852.50",-1.25,65,"1,863.45","1,888.10",65,"23,900.00",65,5.30,5.75,"1,430",-1.05,5.45,28.35,"88,511","8,065","15,644",
,2,-,-,-,"1,821.75",-,390,"1,779.75","1,887.55",65,"23,950.00",650,5.70,6.40,260,-1.15,5.85,27.98,"40,241","1,615","2,728",
,"1,755",-69,255,-,"1,775.00",20.00,65,"1,767.60","1,779.80",65,"24,000.00",845,6.25,6.65,"2,925",-0.55,6.60,27.81,"4,49,233","13,521","1,12,680",
,6,3,8,-,"1,708.20",-30.10,65,"1,714.95","1,772.25",65,"24,050.00","1,235",6.40,6.95,260,-1.05,6.60,27.13,"42,820","1,244","2,492",
,148,-1,20,33.87,"1,741.55",81.20,390,"1,631.55","1,684.70",65,"24,100.00","1,040",6.80,7.20,260,-1.00,6.90,26.64,"1,25,992","6,705","17,083",
,6,-1,3,33.10,"1,691.80",26.60,390,"1,582.25","1,639.45",65,"24,150.00",780,7.15,7.60,"1,170",-1.20,7.20,26.13,"39,163","1,409","2,923",
,50,-4,26,19.03,"1,616.50",60.65,390,"1,532.00","1,585.75",65,"24,200.00",910,7.50,7.80,"2,600",-0.80,7.80,25.77,"2,20,707","21,307","35,050",
,54,-2,11,-,"1,525.45",28.20,65,"1,517.65","1,575.85",65,"24,250.00",65,7.85,8.15,650,-1.40,7.90,25.13,"59,758","1,566","5,529",
,142,-5,44,-,"1,501.75",42.30,325,"1,433.30","1,479.45",65,"24,300.00","4,810",8.15,8.55,65,-0.70,8.55,24.75,"1,56,447","18,175","27,992",
,76,-,11,-,"1,442.35",2.20,390,"1,383.95","1,437.40",65,"24,350.00",585,9.00,9.25,"1,040",-1.35,9.00,24.26,"58,800",711,"2,915",
,248,-86,152,-,"1,381.25",20.95,65,"1,370.20","1,387.15",65,"24,400.00",715,9.40,9.65,"1,300",-1.05,9.40,23.73,"1,77,429","6,358","16,988",
,133,-16,84,-,"1,318.70",15.50,260,"1,321.55","1,360.60",65,"24,450.00",650,9.90,10.30,520,-1.15,9.90,23.22,"57,358","2,231","4,796",
,"3,069",-133,"1,104",-,"1,281.75",7.70,130,"1,276.60","1,286.10",195,"24,500.00",910,10.55,10.95,"1,495",-0.65,10.55,22.76,"3,62,979","24,928","88,516",
,264,-2,5,-,"1,212.30",-0.95,195,"1,224.45","1,259.65",65,"24,550.00",975,11.20,11.75,780,-1.30,11.20,22.27,"76,769","4,190","6,692",
,"1,392",-82,155,-,"1,182.80",13.40,130,"1,177.45","1,186.80",65,"24,600.00",585,12.10,12.25,780,-0.70,12.05,21.83,"2,04,192","2,336","27,445",
,435,-30,97,20.51,"1,176.90",57.05,325,"1,088.45","1,141.40",195,"24,650.00",975,12.90,13.05,65,-0.60,12.90,21.36,"1,08,317","6,593","18,037",
,"1,478",-116,329,-,"1,083.00",16.70,65,"1,078.30","1,088.20",65,"24,700.00","1,170",13.55,13.80,65,-0.65,13.50,20.79,"2,13,661","6,758","30,218",
,777,2,202,-,"1,034.45",12.35,65,"1,028.50","1,042.85",65,"24,750.00","1,040",14.45,14.65,325,-0.95,14.45,20.31,"1,14,156","8,364","16,361",
,"5,092",-632,"1,670",-,985.60,15.10,195,981.65,989.30,65,"24,800.00","1,170",15.30,15.50,"1,040",-1.30,15.35,19.78,"2,35,537","10,038","41,725",
,725,-10,407,-,938.20,17.45,195,932.10,944.30,65,"24,850.00",715,16.55,16.75,195,-1.65,16.75,19.35,"1,14,972","7,336","17,122",
,"7,654",-553,"2,608",-,889.40,14.30,195,885.55,891.70,65,"24,900.00",975,17.65,17.85,"1,820",-1.60,17.85,18.82,"2,34,927","10,513","33,267",
,945,-87,737,-,837.50,12.70,260,837.55,844.90,130,"24,950.00",195,19.10,19.20,260,-2.25,19.20,18.31,"1,45,780","4,885","13,919",
,"15,277","-2,286","12,248",-,789.60,13.10,195,789.75,793.30,390,"25,000.00",650,20.70,20.85,650,-2.25,20.85,17.83,"7,39,383","30,376","1,21,209",
,"1,487",-264,"1,130",-,740.55,12.65,65,738.85,748.50,195,"25,050.00",65,22.30,22.60,260,-3.65,22.30,17.27,"1,84,146","5,476","23,848",
,"19,700","-1,972","8,062",-,695.00,12.90,65,693.35,695.00,130,"25,100.00","1,430",24.50,24.80,520,-4.30,24.50,16.82,"3,29,531","3,390","34,818",
,"1,417",-305,"1,259",-,645.90,8.40,260,645.00,650.90,195,"25,150.00",65,27.30,27.60,325,-5.30,27.30,16.42,"2,35,847","21,816","29,415",
,"9,676",-900,"9,785",-,600.05,10.00,260,598.75,605.30,260,"25,200.00",65,30.15,30.35,260,-6.40,30.20,15.97,"5,28,174","18,645","58,858",
,"1,457",-246,"3,744",-,556.85,5.60,260,553.95,557.25,260,"25,250.00","1,040",34.00,34.40,260,-8.95,34.10,15.60,"3,05,328","13,631","21,064",
,"12,832",-935,"18,221",-,508.50,3.35,260,508.30,511.25,260,"25,300.00",520,38.70,38.95,780,-10.85,38.70,15.25,"6,23,884","17,867","51,679",
,"1,518",-499,"5,466",-,466.05,2.20,260,464.15,469.90,195,"25,350.00",65,44.25,44.45,325,-14.15,44.45,14.96,"4,26,016","15,132","29,579",
,"10,868",660,"32,380",7.74,423.00,1.00,260,421.60,423.20,715,"25,400.00",520,51.00,51.30,910,-15.75,51.05,14.66,"8,38,451","21,313","54,745",
,"2,281",-319,"17,615",8.61,380.60,-1.70,65,380.45,381.60,260,"25,450.00",455,59.25,59.50,910,-18.85,59.25,14.43,"5,10,273","15,870","24,022",
,"27,809","-5,301","2,39,150",9.13,340.10,-6.55,390,340.05,341.55,260,"25,500.00",715,68.60,69.00,325,-22.70,68.60,14.19,"18,67,435","36,855","97,803",
,"3,007",796,"84,481",9.55,302.30,-10.20,325,301.90,303.45,260,"25,550.00",390,80.45,80.90,260,-24.95,80.45,14.05,"9,03,109","20,041","28,868",
,"16,192","1,034","5,16,817",9.87,266.80,-11.85,260,265.70,266.80,195,"25,600.00",910,94.25,94.80,585,-27.30,94.40,13.95,"16,66,884","34,784","59,869",
,"6,188","2,347","4,91,257",10.05,232.80,-15.85,130,232.55,233.35,260,"25,650.00",65,110.60,111.10,910,-29.95,111.10,13.93,"12,49,612","24,192","35,804",
,"49,467","10,400","23,70,898",10.22,201.70,-17.45,715,201.70,202.10,260,"25,700.00",130,129.25,129.85,260,-32.20,129.80,13.90,"32,94,368","42,513","90,500",
,"42,240","24,204","24,10,107",10.41,173.85,-20.50,260,173.05,173.80,195,"25,750.00",715,151.00,151.60,260,-34.20,151.10,13.92,"23,51,481","30,885","45,168",
,"1,18,231","37,355","34,72,718",10.55,148.45,-20.95,130,148.00,148.45,195,"25,800.00",65,175.10,175.75,455,-35.40,175.80,14.03,"26,96,375","40,924","97,897",
,"36,331","5,922","13,70,568",10.69,125.75,-22.70,260,125.65,126.10,65,"25,850.00",260,203.00,203.55,455,-36.65,203.40,14.19,"5,34,995","9,261","17,637",
,"59,579","19,582","16,74,734",10.89,106.70,-21.90,260,106.25,106.70,325,"25,900.00",195,233.00,234.00,975,-36.80,232.90,14.34,"4,96,324","6,254","17,261",
,"28,507","18,548","9,49,469",11.03,89.45,-21.70,65,89.45,89.80,260,"25,950.00",260,265.70,267.10,260,-34.35,267.05,14.70,"93,485","3,425","5,337",
,"1,49,958","30,073","23,24,982",11.19,74.70,-20.90,650,74.70,75.10,910,"26,000.00",195,301.60,302.80,260,-34.75,302.70,15.05,"3,11,641",470,"28,943",
,"22,895","12,127","6,69,864",11.35,62.20,-19.40,455,62.20,62.60,390,"26,050.00",260,338.40,340.15,390,-29.35,340.05,15.40,"22,585","1,116","2,129",
,"65,257","32,221","9,90,766",11.59,52.25,-17.80,455,52.00,52.25,650,"26,100.00",195,378.35,379.70,520,-27.85,379.95,15.85,"31,003",139,"5,667",
